"coefficient","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26"
"C14",-0.00957994933707652,-0.0371083334823869,0.112412890789131,0.0363892420944788,-0.0625784291576122,-0.113001129553992,0.110968595552351,0.0737479663957637,-0.145412516585913,0.343528184995507,-0.0778706955301532,-0.0197543264296968,-0.0106407012277975,0.00830352384322173,0.0184377692249031,0.230710922208061,0.395459916679506,-0.043216811230804,0.0113099612616047,0.268608502427851,-0.242254941584236,-0.0943436603963103,-0.206199563345663,0.0401999457768927,-0.286104084129318,0.0959543047000764
"C15",0.0168814396171302,0.0660896317996423,-0.0996173125605857,0.0160052817435703,0.0526168570326274,0.0100185933437269,-0.152522623977391,-0.270854005988503,0.275402841418269,-0.326982734177591,0.306513926505887,0.199830691911057,-0.0224287631693506,-0.00376741022460224,-0.0214239716589853,0.190668643575891,0.0523696594965675,0.263877029943737,0.135528868964566,-0.0154114521417174,0.147938775880315,0.156672295452094,0.0371477361085563,-0.22094004575889,-0.266177619583533,0.177989600974933
"D1",0.00730843990134319,0.00226567885142449,-0.00319552411721081,-0.0477769937593349,-0.0213120543983617,-0.0263421020926868,-0.0735120733652331,-0.0061647497987578,0.166410303374981,0.0803225404883969,0.161995746357704,-0.00545057449855096,-0.0967838013029679,-0.477449970235078,0.276147586895516,0.164935533764334,0.124137568937511,-0.228218809978849,0.114271438961815,-0.0299548576653548,-0.0734211665400214,-0.0151762009906772,0.0873044763476334,0.0189835712785353,-0.0177469641755256,0.0283536035957476
"D2",-0.000220518515541343,0.00644049871087619,0.00268992834963102,-0.00110301764253788,-0.000299815658551485,-0.0025215520537731,0.000220000059201476,-0.00220564578390978,0.00485646686784477,0.0035710226043104,0.00152084162286816,0.000828517339672573,0.00291077741332961,-0.00126541340331504,0.0054519924692264,-0.0086905040536446,0.00118321928338964,-9.90427374350447e-05,-0.000693333725003349,-0.0117824411794754,-0.00106657450320793,-0.00927011609888187,-0.00788114507432051,-0.000218502539474097,0.0203393315985326,0.0125504376490277
"D3",0.00241577886011389,0.00153705419454792,-0.00444246955019598,0.00390102436308701,-0.000787963186858757,0.000460792825962923,0.00480063663972211,0.00458194093838422,-0.00363482377112864,-0.00334377871404672,-0.00920986356286628,0.00188853223905275,0.00862628710374451,0.0282569347078757,-0.0119562244848379,-0.00748173264188188,-0.00619021480110671,0.0098131305110851,-0.0147967052699638,-0.00170191648238472,-0.0285980809225017,-0.0254167733501904,0.00334338888219765,-0.0300172734473297,-0.0855086215914633,0.0380128472550223
"D4",-0.00226887324457937,0.00592638286733068,0.00654251488757529,0.00410249217133269,-0.000704853127989843,0.00216124565417294,0.0023454248361672,0.00455495198996453,-0.00370237561189149,-0.000723174004787474,-0.00612684142201399,0.00643284672207232,0.00832038808087381,0.0198507279240339,-0.00454285298613005,-0.00779090798768788,-0.00695328305467474,0.0115226617948695,-0.00199133629991591,-0.0260443516191835,0.0112516363981677,0.00985225694476817,0.0183304447513318,-0.0354853386455729,0.0156137617566409,0.0394892590386615
"D5",0.00143409925294272,0.00626032060985181,-0.00423044289402281,-0.0021247556894219,-0.00605439742658978,0.00698705707074802,0.008845014285944,-0.00146294673807226,-0.00399785009751064,-0.00227007608813287,0.000299586081680157,0.00682286074563521,0.00347854731672876,0.0201203604497901,-0.00542371827819485,-0.0138195601384794,-0.00707517652184955,0.00603035960520422,-0.0166066593508205,-0.00341644329209062,-0.0285738092672174,0.00173836391577056,-0.0195149017983939,-0.0168269680938739,-0.0473244310985542,0.00427753932832264
"D6",-0.00375791962277965,-0.00156964415060276,0.00398345853898385,0.01113821719046,-0.00254533163151447,0.00814677429058713,0.0143814430729813,0.00615811983407077,-0.0105873329024388,-0.00964373736079975,-0.0137967881201389,0.00103794636827957,0.0131140010814035,0.0339240135654532,-0.0196926271644236,-0.00564277209720348,-0.00910107135212559,0.0260220788506528,-0.00824719049008978,-0.0176481861220767,0.0217499257330934,0.0221713115397626,0.0142684113408884,0.00511879643400801,0.0657587642659781,-0.0178261565325566
"D7",0.000742607692931501,0.00452436676946311,0.00231022584555384,-0.00845986995347901,-0.00820767309620398,0.00547932551216534,0.00503297719718059,-0.000837875833142366,0.00478321560068423,-0.000964889360560996,0.00752348979274278,0.00985548881499287,0.00219610946996022,-0.0239029951271771,0.020572321973419,-0.00582142879871143,-0.00665065106011405,-0.0160433297693001,-0.0112711709808744,-0.0171027440395924,-0.00625714208421753,0.0147762529568262,0.00494689951688354,-0.0520759913824792,-0.0584211812753491,0.00963597716029304
"D8",-0.00246194980691619,-0.00124197943629848,-0.00437888572768085,0.0144244677878653,0.00334307410708002,0.0123255539535908,0.0157824116973422,0.00255798408195746,-0.00344101125986651,-0.00531132947686042,-0.0169248978457914,0.00565771723407241,-0.00201651295414423,0.0339650536241274,-0.00713014144803699,-0.00273776089876708,-0.00351522512001651,0.0261553453042817,-0.00295891845526541,-0.0103758534137904,-5.06422214636739e-05,0.024109200552021,0.00724633111686073,0.029147528889607,0.159184994022482,-0.0193123027813153
